compound	BLK_1	PB_PM1	PB_PM10	PB_PM11	PB_PM12	PB_PM2	PB_PM3	PB_PM4	PB_PM5	PB_PM6	PB_PM7	PB_PM8	PB_PM9	PM1_D0	PM1_D10	PM1_D30	PM1_D50	PM10_D0	PM10_D10	PM10_D30	PM10_D50	PM11_D0	PM11_D10	PM11_D30	PM11_D50	PM12_D0	PM12_D10	PM2_D0	PM2_D10	PM2_D30	PM2_D50	PM3_D0	PM3_D10	PM3_D30	PM3_D50	PM4_D0	PM4_D10	PM4_D30	PM4_D50	PM5_D0	PM5_D10	PM5_D30	PM5_D50	PM6_D0	PM6_D10	PM6_D30	PM6_D50	PM7_D0	PM7_D10	PM7_D30	PM7_D50	PM8_D0	PM8_D10	PM8_D30	PM8_D50	PM9_D0	PM9_D10	PM9_D30	PM9_D50	QC2	QC3	QC4	QC5	QC6	QC7
ft639	NA	46837	31717	36771	NA	33510	145851	34621	129017	43550	32799	39415	27334	88369	NA	77656	56304	72357	73751	67928	45519	27226	70869	31906	30492	28427	217794	132217	NA	348306	75788	36058	90350	84005	38526	46251	NA	125279	81806	154464	31694	49552	275727	35016	NA	21031	48517	61535	28870	NA	74020	139507	NA	34306	NA	72708	129058	203246	85907	108440	36464	38742	102079	64659	123535
ft665	NA	33539	65533	86471	NA	131053	NA	NA	NA	NA	74762	122066	138477	NA	45056	NA	NA	NA	NA	NA	NA	NA	96240	99049	NA	NA	NA	NA	NA	432268	259588	94762	NA	NA	29261	133177	NA	NA	114277	NA	NA	NA	NA	55777	NA	153682	41211	NA	NA	NA	122150	NA	NA	NA	NA	NA	NA	45290	NA	NA	88635	91834	NA	NA	NA
ft623	113135	184577	182987	183267	165150	178293	231636	174034	216533	124111	209897	206439	221245	201461	251747	194151	136868	145392	198031	163974	235673	139785	228655	183330	163429	35511	335348	224952	202126	203264	219252	209128	194575	216386	176985	346573	NA	197887	215335	257662	195875	171077	619678	187103	224533	213963	213295	43814	224566	224972	232013	359186	NA	130560	318294	99668	190223	308463	211914	199140	175933	149786	181604	161938	167326
ft664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15183	230305	NA	NA	92231	NA	31056	47522	NA	NA	NA	NA	NA	84189	24517	NA	NA	33647	NA	NA	NA	NA	90671	NA	NA	35536	96590	127286	NA	228997	8923	NA	NA	68976	NA	NA	NA	56393	251124	NA	195753	214712	41956	NA	216174	NA	NA	NA	NA	NA	167135	NA
ft678	NA	NA	NA	NA	NA	NA	NA	13966	NA	NA	NA	19538	12593	NA	47982	NA	NA	NA	NA	17966	NA	NA	NA	NA	NA	NA	NA	NA	NA	29493	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17849	6109	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft679	NA	NA	NA	NA	9249	NA	NA	NA	NA	NA	10581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft701	NA	NA	34979	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	50195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	782287	NA	NA	493919	NA	NA	NA	NA	18174	NA	NA	NA	NA	493692	NA	1057747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	346222	NA	NA	NA	NA	NA
ft638	NA	NA	NA	NA	NA	NA	NA	NA	NA	17995	NA	NA	17140	102239	792786	46172	164726	457524	83681	404746	305902	212812	204281	132056	NA	50352	242935	454761	27679	1078288	772910	273025	187644	141919	106369	3014325	NA	415116	483926	1187813	245756	281199	2426354	786413	237984	664626	176437	123419	308455	130925	524611	2929883	NA	348925	444223	1104883	158946	882391	106045	345239	363947	386901	374190	296107	352019
ft704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	348384	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	238611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft667	NA	NA	NA	9529	NA	14715	15627	19020	11909	NA	NA	14124	9513	17258	NA	7049	NA	NA	NA	NA	NA	NA	NA	NA	NA	9827	NA	38508	15538	NA	NA	32199	NA	NA	NA	86861	NA	96724	47663	22644	NA	NA	149550	36157	18744	NA	NA	26677	NA	27552	NA	58033	NA	16149	38054	21671	32679	NA	NA	58758	385310	NA	NA	NA	NA
ft682	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16124	NA	NA	NA	NA	NA	NA	NA	NA
ft656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22677	NA	NA	NA	44034	NA	NA	43582	NA	NA	NA	NA	NA	NA
ft662	NA	NA	NA	NA	NA	NA	39068	NA	28445	NA	NA	NA	15299	NA	48299	10090	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11474	NA	NA	10771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	309963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1134546	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft634	29044	24719	28609	25214	28064	27295	25461	25081	17335	22128	29505	26422	29053	42656	30975	35737	20796	51283	57878	34625	35295	36679	64139	58429	35905	35672	29963	33367	30140	NA	30960	29127	32885	39499	31783	27515	478179	73000	35772	36060	31165	72980	32306	38278	36944	39712	25171	36360	39290	27027	34918	36607	NA	30848	29148	NA	36716	202018	37792	33377	38498	34605	20360	26203	35011
ft669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34716	NA	NA	NA	158052	66271	NA	NA	NA	NA	NA	NA	NA	NA	NA	19929	NA	NA	NA	92307	NA	NA	NA	41148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	151933	NA	NA	NA	NA	NA	NA	NA
ft697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	53859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19641	NA	NA	NA	NA	NA	NA	NA
ft668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1829084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13867295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft703	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2042295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft645	NA	131061	228763	156594	184464	157130	258658	148118	281745	177163	199470	214904	164029	37191	66450	41211	69701	NA	NA	NA	NA	154863	NA	NA	NA	NA	NA	48890	21047	NA	39171	27858	64258	33179	NA	NA	NA	NA	38899	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	59894	NA	NA	NA	NA	NA	57075	79606	65883	62924	NA	66279
ft699	NA	NA	NA	NA	NA	NA	NA	NA	NA	354032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	566870	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	56448	NA
ft676	NA	156627	402842	NA	NA	1079772	NA	NA	NA	119206	NA	290406	NA	NA	NA	NA	NA	NA	NA	NA	13527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35668	36726	NA	NA	NA	NA	NA	NA	190418	NA	5486	NA	NA	9355	NA	NA	NA	NA	NA	NA	NA	200182	48896	NA	NA	NA	NA	NA	NA	152999	78859
ft632	NA	447240	1775583	598194	825584	846891	688277	657656	821854	820009	1090811	1080885	582958	62887	236017	43648	23091	200731	69003	42900	275458	29298	100130	64192	15589	35762	55118	124659	112776	190738	NA	85891	116457	69312	113661	74295	NA	168572	87340	314458	58322	64066	369801	46748	37945	38679	194984	28256	47143	36592	143813	697713	NA	70907	726351	24643	17305	138261	51084	227499	242975	249890	238310	165508	227301
ft631	NA	NA	NA	507388	159605	243571	1251988	409475	1310155	NA	113713	NA	717705	93110	1388154	291459	136556	99134	NA	29401	NA	60205	79308	106411	NA	32487	120415	512705	41396	2464765	964802	56247	NA	NA	NA	129774	NA	NA	NA	NA	NA	189126	NA	65320	NA	77702	NA	NA	16711	36397	79807	138003	NA	NA	203938	NA	NA	NA	NA	219028	267660	240527	244643	NA	230526
ft672	NA	NA	NA	NA	NA	NA	NA	NA	853344	NA	NA	NA	NA	NA	680800	NA	NA	NA	20907	69899	NA	NA	NA	NA	16699	NA	NA	258410	187672	1136418	NA	NA	NA	49817	23197	NA	NA	NA	NA	NA	46530	106013	NA	NA	47575	NA	NA	NA	28499	NA	26726	85988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33247	12826	NA
ft686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19628	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft622	NA	124702	134788	428863	115355	220468	1001598	334060	1116096	168327	231089	371285	627236	96956	1100954	258730	142424	105443	NA	90457	NA	35843	86286	94773	NA	26679	94286	406341	33740	2190423	1004478	45747	44128	56042	41191	137801	NA	NA	194606	83747	51873	101259	310136	83320	49781	52627	34287	44626	33610	35902	34361	137500	NA	NA	NA	56987	85048	56346	30648	194405	202197	200893	231348	145863	227423
ft705	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28836	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft650	NA	NA	NA	NA	89297	NA	NA	82208	1692378	NA	50304	83448	113477	NA	208253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41032	69518	NA	406192	NA	NA	NA	NA	NA	39256	NA	NA	32333	NA	NA	22293	NA	NA	NA	NA	NA	NA	NA	NA	16180	NA	NA	NA	36908	NA	16007	NA	NA	38126	42857	39868	NA	32410	88869
ft684	NA	NA	294413	NA	NA	NA	NA	NA	NA	166900	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	52055	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69933	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft647	76617	104098	131639	908377	114916	481551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87449	NA	119132	120495	134677	114952	91583	103868	70813	112032	NA	NA	823191	NA	NA	NA	114842	NA	NA	NA	71229	347341	158497	NA	125397	NA	348646	NA	125838	124354	NA	119059	116880	84139	117414	132970	64537	103122	NA	112577	NA	122008	108620	NA	NA	NA	129137	NA	138512
ft691	33053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft646	NA	72556	NA	140523	114750	235775	462275	135744	314097	295610	223961	292891	NA	691994	NA	NA	NA	240975	76971	81157	70255	NA	93254	56893	NA	NA	145958	NA	264458	NA	686575	331552	116904	188432	180946	366599	NA	250417	260875	156093	304896	342609	367466	185862	93664	94767	100272	219450	116831	146017	NA	292773	NA	197853	368877	NA	223126	109119	58878	308064	271170	262560	108511	211946	NA
ft648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	165035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	213702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	105225	201241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft649	NA	NA	NA	NA	NA	NA	289772	NA	NA	NA	NA	NA	NA	NA	390808	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	115658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft637	NA	199375	208711	628257	186846	368108	1923194	499755	2075128	224623	391931	589924	1102078	NA	1933709	544282	317692	207618	52070	NA	61805	70323	152135	164933	NA	364904	214970	953405	185242	4220986	1622456	NA	NA	NA	NA	221932	NA	NA	280470	143924	90403	167853	407243	168512	NA	74553	69802	NA	103670	114954	127116	NA	NA	89448	312129	186640	164269	95078	58136	326754	398202	372745	385203	270421	372803
ft700	4380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	109614	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft624	NA	346161	472427	933298	365730	1070141	1972916	1375845	1882794	366679	633649	885825	1648340	256982	1406487	351638	134467	86006	NA	40529	76548	96995	44585	NA	NA	NA	NA	559345	214920	801894	393000	172502	295165	184677	84691	337064	133804	NA	203475	188335	158829	146684	394114	188893	72797	212310	151730	NA	159442	104523	181407	416259	60898	222256	244200	105112	29819	NA	NA	349157	350341	372800	356477	283325	351003
ft685	NA	NA	NA	67620	NA	NA	358820	NA	384448	NA	NA	NA	70804	NA	NA	NA	NA	NA	NA	NA	NA	35675	947535	NA	26282	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45219
ft627	NA	324141	612657	910696	730132	NA	1845624	884603	3274326	622004	2268884	954840	403616	793894	1598185	767323	1421247	754997	911964	1107579	NA	584183	1268083	1334699	72426	722049	3148516	1970579	360737	1494912	1574110	NA	NA	2246531	768509	1532372	NA	1525531	1399793	NA	1333217	1141926	2485886	1262482	965296	709809	741994	489515	1604084	561975	1283675	1515104	NA	903427	3873205	700305	556753	1416826	568744	1256376	1349311	1065259	1250582	830623	927706
ft696	NA	85436	NA	NA	NA	359489	NA	NA	NA	216085	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	245848	NA	NA	NA	NA	NA	2330255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	604048	NA	NA	NA	NA	NA	NA	NA
ft630	NA	529931	1212705	1365385	1204899	1951160	2382431	616356	NA	753767	NA	NA	747141	1650705	4025472	1564027	931708	NA	NA	1982510	1549442	733882	1501368	1611925	NA	694499	4013541	2181026	688598	3035419	2596132	2611477	2251032	1881448	2223106	4069872	NA	NA	2814759	2039198	2076421	2377024	5656486	NA	1404220	1517855	NA	1396859	2031682	1203272	1685344	3618778	NA	1827395	2014280	832701	1060394	2039416	NA	NA	2925313	2034566	2005697	1388457	1761267
ft636	NA	276978	NA	594545	NA	1314173	916638	NA	1853286	333248	656197	776821	333883	NA	8573177	622872	483308	4139629	786784	518613	2107276	NA	2576481	1140532	56553	NA	2720319	NA	NA	11851229	2625519	NA	3484159	1068940	NA	22004177	NA	3716880	4972229	6925972	4135311	6373303	24355128	1564034	1545871	1912328	373554	NA	4750293	487717	2123661	20016563	NA	4287544	1136492	756456	NA	5999194	NA	2723098	2884724	3045937	2804090	2066340	2612828
ft689	NA	NA	NA	NA	NA	345786	NA	NA	905171	86390	NA	206078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2115632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft628	NA	NA	NA	NA	6745	NA	NA	178746	NA	NA	NA	NA	NA	4058121	6075546	720329	680501	3911326	1433323	6457253	2509273	3589900	1008082	783558	53764	1148894	4725392	10909622	1798968	3193355	8206137	3785106	697067	3813064	2681507	5651518	NA	1435604	5428995	4828009	2054713	2425643	17693875	4858266	1289950	5809044	4823813	4587629	2156796	1260026	2024799	4694481	NA	3174556	9132916	3506542	1012197	3784386	2573286	2983109	3196879	3040774	3020836	2188594	2643786
ft675	NA	79242	34047	NA	57895	NA	NA	173178	NA	NA	225064	NA	21107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft625	26816	1077978	887266	879989	307948	338884	5063779	2749823	1538592	1654915	2952254	857208	1464573	31569610	4392126	22411407	34534234	50968060	25288286	44116279	38200154	37443017	40118443	37421875	2338709	17919606	22824638	46318848	16022922	46994280	47921256	26083229	33919070	31608919	27420836	46340145	4881749	52717477	50133124	50514301	35009936	44266297	57689532	41808557	41072606	18667425	40529211	33467725	44581164	23106870	56182999	46376442	888779	42060066	50217220	51543807	28871969	48197583	24362364	42991832	44304557	45116823	47825013	42475623	35574836
ft673	NA	1216074	NA	NA	376161	NA	NA	NA	2142924	NA	NA	NA	NA	NA	53688542	NA	NA	NA	NA	NA	NA	8083317	NA	NA	NA	NA	44814374	NA	NA	6494924	16491376	NA	NA	NA	2210995	3553793	34385225	NA	NA	NA	NA	NA	NA	49510184	NA	60943183	NA	NA	3951641	NA	36651407	46790664	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft674	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34884292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31490330	NA	NA	NA	25951135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4841868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft659	16313	56248	102342	88643	72810	99769	112448	130501	93917	61523	96420	93730	65605	NA	NA	7007713	7425387	7990665	309213	155248	616785	316642	733970	5002341	NA	82564	NA	NA	NA	NA	2346446	NA	11388929	379500	NA	NA	NA	6737090	NA	NA	274843	249734	NA	NA	269024	122443	441041	379605	371911	NA	NA	NA	166417	NA	169022	4995475	NA	429489	628468	NA	NA	NA	486540	10618447	1696678
ft680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	250112	NA	NA	NA	NA	NA	NA	110935	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	410118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft660	NA	NA	69373	75816	79512	NA	NA	NA	NA	NA	NA	100155	48656	NA	2583704	NA	209293	NA	67075	NA	NA	NA	NA	NA	NA	NA	NA	NA	92520	NA	NA	359121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30022	445662	426117	397292	404238	318271	378093
ft626	NA	NA	NA	90055	NA	30229	133010	18090	186338	18110	NA	57424	62162	NA	321285	35128	36090	104790	NA	84053	NA	22331	NA	58752	NA	NA	219688	121537	NA	392181	166136	NA	41965	39322	35871	NA	55570	47658	96916	NA	56252	NA	369220	NA	46741	97810	NA	NA	92007	13966	56335	NA	NA	64710	212393	103227	31312	80600	NA	NA	NA	NA	NA	NA	NA
ft702	1356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	145472	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft693	NA	NA	NA	NA	NA	NA	169331	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13641	NA	NA	NA	NA	NA	33122	NA	NA	NA	NA	NA	285585	NA	NA	NA	NA	NA	389771	95082	NA	NA	NA	NA	NA	NA	12180	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft661	275578	NA	96099	93397	101554	74418	137056	50113	161752	NA	66035	54098	109426	NA	237840	80022	NA	29252	159771	48682	28700	28793	3003	34360	NA	55476	50553	NA	270069	282193	NA	26543	NA	NA	78791	NA	508609	28741	43729	72471	24055	11618	130253	NA	NA	112605	37476	37773	117841	NA	79052	NA	437505	17763	85051	26823	49773	149301	108865	42932	42654	64642	NA	30022	27256
ft658	NA	59831	NA	98406	NA	NA	265383	100534	325103	44844	NA	129453	NA	NA	847456	NA	NA	NA	NA	NA	NA	NA	119365	NA	NA	NA	61615	129385	NA	656884	239311	NA	NA	NA	NA	NA	NA	NA	17341	NA	NA	76457	NA	NA	NA	NA	NA	NA	NA	NA	NA	31494	NA	NA	NA	NA	58695	71384	NA	NA	NA	NA	75628	47434	NA
ft657	NA	20951	NA	NA	24590	NA	NA	34072	NA	20104	29152	NA	NA	28907	NA	NA	19441	NA	25505	39400	27322	24598	23040	NA	18671	NA	27261	42270	NA	NA	NA	NA	28256	NA	99482	25526	9250	26609	NA	NA	26365	23833	37666	108231	28590	24842	26045	70115	28854	26982	66310	239299	17386	21650	35337	12977	NA	24788	24605	39572	31103	41372	30485	33545	23555
ft663	NA	32412	40871	53656	35540	34354	186784	65689	NA	33557	45681	61465	140610	NA	61410	59711	18893	21179	NA	NA	NA	NA	NA	NA	NA	NA	3800	NA	32699	83239	96639	39352	NA	76659	NA	193403	NA	21629	239576	70250	NA	NA	74389	NA	30095	NA	53847	NA	NA	NA	NA	88257	NA	18596	220220	46993	NA	7523	NA	NA	35103	39506	33765	30301	35715
ft655	NA	106239	292735	141736	182811	171455	182240	174174	186460	157082	246111	211645	151254	59385	NA	36845	47065	38850	30223	23587	29874	NA	NA	24706	NA	39098	42044	113756	35233	NA	107699	32207	NA	27712	18074	52141	NA	17676	50514	41437	14639	23269	67912	23161	18548	20339	15565	15533	21068	19684	37450	56935	41173	28067	69594	30255	23201	30110	NA	53539	63425	52772	55262	41537	49542
ft698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ft677	NA	NA	NA	NA	NA	56835	NA	NA	107721	NA	NA	NA	NA	NA	196854	NA	NA	46115	NA	NA	NA	NA	12449	16336	NA	NA	NA	NA	27529	280667	NA	NA	NA	NA	NA	NA	NA	36783	NA	NA	NA	23381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26394	NA	NA	NA	NA	NA	NA	NA	NA
ft652	NA	NA	59070	81953	62063	58749	97164	20821	114121	25274	39405	39502	22215	41981	173755	62290	22323	80531	NA	40667	44512	27711	61550	41615	NA	NA	109055	85065	40888	263745	56972	17298	29429	35439	16305	145675	17012	47014	61805	181948	32115	64611	325958	69840	30620	56303	41903	NA	18471	16285	NA	147348	134165	78536	126908	59691	30258	62712	35908	47819	53770	50869	52519	36333	49776
